state,year,annual_median_wage,poverty_rate,median_household_income,opioid_overdose,Median_Rent,overall_homeless_per_capita,drug_overdose_deaths_per_capita,total_vacant_units_per_capita,totalsubsidized_units_per_capita
Texas,2022,43460,0.139302,72284.0,3172.0,853,0.0008,0.0002,0.0348,0.0095
Utah,2022,44470,0.081161,89168.0,427.0,1888,0.001,0.0002,0.0292,0.0059
Vermont,2022,47320,0.098904,73991.0,239.0,877,0.0043,0.0004,0.0955,0.0205
Virginia,2022,48290,0.107154,85873.0,2108.0,788,0.0008,0.0003,0.0351,0.0123
Washington,2022,56320,0.100466,91306.0,2063.0,829,0.0032,0.0003,0.03,0.0122
West Virginia,2022,37770,0.177808,54329.0,1146.0,779,0.0008,0.0008,0.0707,0.0195
Wisconsin,2022,45650,0.107357,70996.0,1433.0,814,0.0008,0.0003,0.0473,0.0133
Wyoming,2022,45450,0.116291,70042.0,83.0,747,0.0011,0.0002,0.0581,0.0099
Alabama,2023,41350,0.15611948,62212.0,,1653,0.0006,,0.0603,0.0185
Alaska,2023,56140,0.10610421,86631.0,,823,0.0035,,0.0717,0.0108
Arizona,2023,47680,0.12440615,77315.0,,959,0.0019,,0.0445,0.0056
Arkansas,2023,39060,0.15202338,58700.0,,1276,0.0008,,0.0574,0.0171
California,2023,54030,0.11977809,95521.0,,836,0.0046,,0.0271,0.013
Colorado,2023,54050,0.09376556,92911.0,,884,0.0024,,0.0356,0.0108
Connecticut,2023,56130,0.10257371,91665.0,,749,0.0008,,0.0283,0.0232
Delaware,2023,49280,0.10694347,81361.0,,749,0.0012,,0.0573,0.0128
Florida,2023,45070,0.1228858,73311.0,,819,0.0013,,0.0649,0.0089
Georgia,2023,45480,0.13576629,74632.0,,856,0.0011,,0.0416,0.0124
Hawaii,2023,50510,0.10735963,95322.0,,798,0.0043,,0.0542,0.0163
Idaho,2023,44240,0.10013204,74942.0,,1209,0.0012,,0.0416,0.0065
Illinois,2023,48730,0.1150025,80306.0,,1545,0.0009,,0.0316,0.0182
Indiana,2023,45470,0.12255209,69477.0,,813,0.0009,,0.036,0.0131
Iowa,2023,46460,0.11090997,71433.0,,779,0.0008,,0.0346,0.0128
Kansas,2023,45250,0.11400305,70333.0,,1068,0.0009,,0.0378,0.0119
Kentucky,2023,43730,0.16680228,61118.0,,1138,0.001,,0.0402,0.0188
Louisiana,2023,41320,0.18798666,58229.0,,807,0.0007,,0.0634,0.0207
Maine,2023,47590,0.10459539,73733.0,,920,0.003,,0.101,0.0195
Maryland,2023,55810,0.09486858,98678.0,,1087,0.0009,,0.0302,0.0164
Massachusetts,2023,60690,0.1043278,99858.0,,776,0.0027,,0.0347,0.0276
Michigan,2023,46940,0.13503468,69183.0,,1272,0.0009,,0.0531,0.0144
Minnesota,2023,50880,0.09296262,85086.0,,867,0.0015,,0.0401,0.0161
Mississippi,2023,37500,0.17918098,54203.0,,798,0.0003,,0.0625,0.0194
Missouri,2023,45080,0.11724273,68545.0,,786,0.0011,,0.0464,0.0151
Montana,2023,45690,0.11352509,70804.0,,897,0.0019,,0.0553,0.0125
Nebraska,2023,46440,0.10112702,74590.0,,1077,0.0012,,0.03,0.0143
Nevada,2023,44810,0.11878517,76364.0,,851,0.0027,,0.0384,0.0076
New Hampshire,2023,49980,0.06923828,96838.0,,1124,0.0017,,0.0596,0.016
New Jersey,2023,54860,0.09715367,99781.0,,853,0.0011,,0.0283,0.018
New Mexico,2023,43620,0.17469245,62268.0,,761,0.0018,,0.0513,0.0124
New York,2023,56840,0.14066065,82095.0,,1341,0.0052,,0.0416,0.0299
North Carolina,2023,45440,0.12913567,70804.0,,920,0.0009,,0.0539,0.0118
North Dakota,2023,48830,0.10213846,76525.0,,1016,0.001,,0.0508,0.0181
Ohio,2023,46690,0.13331338,67769.0,,839,0.001,,0.0338,0.0192
Oklahoma,2023,41480,0.15965632,62138.0,,768,0.0011,,0.0492,0.0132
Oregon,2023,50010,0.12235367,80160.0,,1180,0.0047,,0.03,0.0134
Pennsylvania,2023,47430,0.11995424,73824.0,,1668,0.001,,0.0396,0.0172
Rhode Island,2023,50970,0.10498229,84972.0,,1276,0.0016,,0.0391,0.035
South Carolina,2023,42220,0.13722739,67804.0,,1559,0.0008,,0.058,0.0119
South Dakota,2023,43680,0.1258884,71810.0,,1253,0.0014,,0.0421,0.0152
Tennessee,2023,43820,0.14059735,67631.0,,1209,0.0013,,0.0428,0.0149
Texas,2023,45970,0.13680858,75780.0,,966,0.0009,,0.0369,0.0094
Utah,2023,47020,0.09246875,93421.0,,1951,0.0011,,0.0264,0.0058
Vermont,2023,49630,0.09932519,81211.0,,961,0.0051,,0.0952,0.0206
Virginia,2023,49920,0.10233041,89931.0,,849,0.0008,,0.0361,0.0123
Washington,2023,59920,0.10154353,94605.0,,882,0.0036,,0.0331,0.0121
West Virginia,2023,39770,0.16647185,55948.0,,836,0.0008,,0.0678,0.0196
Wisconsin,2023,47590,0.10868443,74631.0,,912,0.0008,,0.0492,0.0132
Wyoming,2023,47250,0.11700848,72415.0,,823,0.0009,,0.056,0.0099
