state,year,annual_median_wage,poverty_rate,median_household_income,opioid_overdose,Median_Rent,overall_homeless_per_capita,drug_overdose_deaths_per_capita,total_vacant_units_per_capita,totalsubsidized_units_per_capita
Maryland,2015,41860,0.1011,75847.0,1087.0,1101,0.0014,0.0002,0.0429,0.0166
Massachusetts,2015,45580,0.1132,70628.0,1550.0,1160,0.0031,0.0003,0.0421,0.0284
Michigan,2015,35400,0.1588,51084.0,1309.0,696,0.0011,0.0002,0.0697,0.0147
Minnesota,2015,38870,0.0997,63488.0,338.0,723,0.0014,0.0001,0.0456,0.0163
Mississippi,2015,29000,0.2188,40593.0,150.0,660,0.0007,0.0001,0.0658,0.0181
Missouri,2015,33380,0.1468,50238.0,692.0,655,0.0011,0.0002,0.0613,0.0151
Montana,2015,31970,0.1455,49509.0,48.0,685,0.0017,0.0001,0.0771,0.0134
Nebraska,2015,33840,0.1256,54996.0,55.0,626,0.0015,0.0001,0.0406,0.0147
Nevada,2015,33700,0.1494,52431.0,419.0,792,0.003,0.0002,0.0585,0.008
New Hampshire,2015,37280,0.0792,70303.0,380.0,1022,0.0011,0.0003,0.0786,0.0159
New Jersey,2015,41320,0.1058,72222.0,862.0,1276,0.0011,0.0002,0.0458,0.0193
New Mexico,2015,32320,0.2088,45382.0,351.0,702,0.0013,0.0002,0.0733,0.0123
New York,2015,41600,0.1524,60850.0,2166.0,940,0.0045,0.0001,0.0495,0.0307
North Carolina,2015,33100,0.1672,47830.0,1171.0,707,0.0011,0.0002,0.0645,0.0123
North Dakota,2015,38170,0.1181,60557.0,34.0,646,0.0017,0.0001,0.0655,0.0178
Ohio,2015,35030,0.149,51075.0,2698.0,682,0.001,0.0003,0.0473,0.0193
Oklahoma,2015,32430,0.1626,48568.0,427.0,650,0.001,0.0002,0.0628,0.0136
Oregon,2015,37080,0.1509,54148.0,331.0,766,0.0033,0.0001,0.0412,0.0132
Pennsylvania,2015,36150,0.1291,55702.0,1362.0,766,0.0012,0.0003,0.0506,0.0173
Rhode Island,2015,39050,0.1366,58073.0,254.0,965,0.0011,0.0003,0.0521,0.0356
South Carolina,2015,31280,0.1653,47238.0,554.0,694,0.0011,0.0002,0.072,0.0128
South Dakota,2015,30780,0.1295,53017.0,27.0,665,0.0012,0.0001,0.0479,0.0162
Tennessee,2015,31820,0.168,47275.0,1038.0,653,0.0014,0.0002,0.0549,0.0161
Texas,2015,34550,0.1579,55653.0,1287.0,716,0.0009,0.0001,0.0425,0.0101
Utah,2015,33990,0.1135,62912.0,448.0,715,0.001,0.0002,0.0359,0.0062
Vermont,2015,37040,0.0961,56990.0,79.0,965,0.0024,0.0002,0.1152,0.0198
Virginia,2015,38180,0.1146,66262.0,820.0,895,0.0008,0.0001,0.0433,0.0124
Washington,2015,42190,0.1265,64129.0,692.0,825,0.0027,0.0002,0.0367,0.0122
West Virginia,2015,30240,0.1781,42019.0,629.0,666,0.001,0.0004,0.082,0.0184
Wisconsin,2015,35110,0.1157,55638.0,622.0,710,0.0011,0.0002,0.0585,0.0132
Wyoming,2015,38280,0.1024,60214.0,46.0,734,0.0014,0.0002,0.0692,0.0097
Alabama,2016,32100,0.1729,46257.0,343.0,646,0.0008,0.0002,0.0777,0.0188
Alaska,2016,47170,0.1056,76440.0,94.0,1081,0.0026,0.0002,0.0839,0.0104
Arizona,2016,35470,0.165,53558.0,769.0,822,0.0014,0.0002,0.0637,0.0059
Arkansas,2016,30130,0.1723,44334.0,169.0,645,0.0008,0.0001,0.0709,0.0171
California,2016,40920,0.1438,67739.0,2012.0,1182,0.003,0.0001,0.0285,0.0123
Colorado,2016,39710,0.108,65685.0,536.0,892,0.0019,0.0002,0.0415,0.011
Connecticut,2016,45090,0.0947,73433.0,855.0,1224,0.0011,0.0003,0.0397,0.0229
Delaware,2016,37960,0.1165,61757.0,154.0,1058,0.0011,0.0003,0.0791,0.0136
Florida,2016,32790,0.1479,50860.0,2798.0,848,0.0016,0.0002,0.0839,0.0095
Georgia,2016,34330,0.1581,53559.0,918.0,731,0.0013,0.0001,0.0517,0.013
Hawaii,2016,40030,0.0899,74511.0,77.0,1356,0.0055,0.0001,0.057,0.0159
Idaho,2016,32800,0.1436,51807.0,119.0,692,0.0013,0.0001,0.0535,0.0073
Illinois,2016,38270,0.13,60960.0,1947.0,722,0.0009,0.0002,0.0394,0.0176
Indiana,2016,33790,0.14,52314.0,794.0,714,0.0009,0.0002,0.0484,0.0134
Iowa,2016,34790,0.1142,56247.0,183.0,659,0.001,0.0001,0.0422,0.0129
Kansas,2016,34460,0.121,54935.0,146.0,697,0.0008,0.0001,0.0513,0.012
Kentucky,2016,33190,0.1864,46659.0,989.0,674,0.001,0.0003,0.0558,0.019
Louisiana,2016,32080,0.203,45146.0,346.0,715,0.0009,0.0002,0.0676,0.0202
Maine,2016,35380,0.1299,53079.0,301.0,767,0.0017,0.0003,0.1496,0.0199
Maryland,2016,43010,0.0937,78945.0,1821.0,1165,0.0013,0.0003,0.0421,0.0164
Massachusetts,2016,46690,0.105,75297.0,1990.0,1218,0.0029,0.0003,0.0408,0.0282
Michigan,2016,36030,0.1489,52492.0,1762.0,713,0.0009,0.0002,0.0679,0.0146
Minnesota,2016,40100,0.0983,65599.0,396.0,748,0.0013,0.0001,0.0473,0.0166
Mississippi,2016,29590,0.2075,41754.0,180.0,676,0.0006,0.0001,0.0724,0.0186
Missouri,2016,34230,0.1393,51746.0,914.0,679,0.001,0.0002,0.0637,0.0149
Montana,2016,32750,0.1306,50027.0,42.0,694,0.0014,0.0001,0.0784,0.0131
Nebraska,2016,34890,0.1173,56927.0,44.0,657,0.0014,0.0001,0.0418,0.0145
Nevada,2016,34510,0.1357,55180.0,408.0,804,0.0025,0.0002,0.0571,0.0078
New Hampshire,2016,38270,0.0694,70936.0,437.0,992,0.001,0.0004,0.078,0.0159
New Jersey,2016,41950,0.1029,76126.0,1409.0,1330,0.001,0.0002,0.0462,0.0189
New Mexico,2016,32900,0.2005,46748.0,349.0,740,0.0011,0.0002,0.0761,0.0123
New York,2016,42760,0.148,62909.0,3009.0,953,0.0044,0.0002,0.0521,0.0306
North Carolina,2016,33920,0.1571,50584.0,1506.0,730,0.0009,0.0002,0.0648,0.0122
North Dakota,2016,39160,0.1161,60656.0,54.0,704,0.0012,0.0001,0.0708,0.0176
